"id","created_time","message","story"
"121","2014-09-27T09:30:17+0000","Sometimes as I’m getting off a crowded elevator I like to turn & look at someone who’s staying on and say “you’re in charge while I’m gone.”",""
"122","2015-08-13T20:35:39+0000","VW have got into trouble for falsifying data, apparently this is not the first time the Germans have been found guilty of lying about gas emissions.",""
"123","2013-02-03T12:01:05+0000","Dropping a beer and sticking it back in the fridge all shaken up for the next person to open is not funny when you live by yourself",""
"124","2012-08-13T22:23:20+0000","With eighty seven Facebook friend requests still pending I am wondering if it is social networking or social not working!",""
"125","2016-04-02T14:18:10+0000","God must love stupid people. He made a lot of them.",""
"126","2014-01-02T14:46:35+0000","Whenever someone asks me to sign their cast, I always like to write: ""Last warning, you have a week to get the rest of the money together.""",""
"127","2015-03-10T15:59:55+0000","Lots of us suffer in silence. You should try it.",""
"128","2011-07-19T18:34:15+0000","If I had a twin that was like 2 mins younger that me I would always say 'when I was your age' and proceed to tell the what I did 2 mins ago",""
"129","2012-04-12T23:15:58+0000","It's okay, Web MD. I don't really know what's wrong with me either.",""
"130","2012-03-08T17:53:46+0000","I would’ve slept my way to the top years ago if it actually involved sleeping.",""
"131","2016-02-07T17:22:30+0000","Free speech my ass. This cell phone bill is outrageous!",""
"132","2011-12-02T02:19:25+0000","Its embarrassing that 90% of my Google history is just words I wasnt sure how to spell, and yes I Googled embarrassing.",""
"133","2013-04-14T07:57:38+0000","2013 me can't believe 2005 me actually knew 8 people I liked enough to put in a MySpace Top 8.",""
"134","2014-04-18T07:54:13+0000","You never truly feel the need for the T and G keys to be further apart until you accidentally reply to an email by saying, ""Best Retards.""",""
"135","2010-05-10T18:08:14+0000","Advice to men: If a woman ever says ""Are you wearing that?"" it should never be worn. It's best to throw it away now.",""
"136","2012-06-05T12:49:40+0000","The guy who cares for animals at the zoo could leave any girl unsatisfied and she'd still have to tell her friends ""he's a keeper you guys""",""
"137","2014-05-19T11:28:47+0000","I wonder if the earth teases other planets for having no life.",""
"138","2013-02-04T09:51:09+0000","Saw someone get mugged in the street so I called the Police. Sting told me to stop bothering him.",""
"139","2016-07-01T05:19:56+0000","Didn't Selfie Sticks used to be called Friends?",""
"140","2014-10-13T14:24:13+0000","Twilight did to vampires what Brokeback Mountain did to cowboys.",""
"141","2015-07-20T13:18:20+0000","Picking a checkout line at Walmart is the new Russian roulette.",""
"142","2015-08-19T16:51:10+0000","People are still poaching elephants in this day and age!? I can't even poach an egg!",""
"143","2011-10-05T14:49:00+0000","Never marry a tennis player. Love means nothing to them.",""
"144","2016-06-13T14:54:58+0000","FACT: Vampires aren't on Tumblr because they can't take pictures of themselves in front of a mirror.",""
"145","2014-04-21T04:36:37+0000","A great thing about Indian food is that the next day I get to read twice as much!",""
"146","2015-12-23T00:16:17+0000","If you think about it, James Earl Jones and Morgan Freeman tickling each other would pretty much be the greatest thing ever.",""
"147","2015-03-14T05:22:18+0000","Don't get so puffed up when someone calls you a pillar of the community...so was Lot's wife.",""
"148","2016-12-24T02:51:15+0000","If I worked at a pizza place I would use pepperoni to spell out ""Marry me?"" on pizzas all the time just to make things awkward for couples.",""
"149","2016-01-10T04:14:53+0000","It's never good when my cat thinks outside the box.",""
"150","2010-03-04T10:06:22+0000","My boss hates it when i shorten his name to Dick. Especially since his name is Mike.",""
"151","2011-04-09T13:06:46+0000","Instead of going to couples therapy, married people should just join tinder and see what a nightmare single people have to deal with.",""
"152","2014-11-15T07:46:00+0000","We have so much in common! You want to travel and I want you to go.",""
"153","2010-03-19T02:25:37+0000","When will my neighbor's dog ever get the hint that my leg just wants to be friends?",""
"154","2013-04-13T22:47:27+0000","On a scale of 1 to Nature Valley granola bar, how much is your life falling apart?",""
"155","2013-12-20T06:59:27+0000","I wish I was as skinny as I was the first time I thought I was fat.",""
"156","2010-10-03T22:04:21+0000","That's it. I'm suing Santa Claus for defamation of character. Can't call me a ho 3 times and get away with it",""
"157","2012-05-09T18:14:43+0000","Nothing sucks more than that moment during an argument when you realize you're wrong.",""
"158","2015-11-01T23:20:53+0000","He broke her heart. She broke his X-Box. I think we all know who cried harder.",""
"159","2014-07-13T22:21:55+0000","“truth or dare” “Dare” “Order us pizza”",""
"160","2010-03-20T15:20:34+0000","I consider the word Dodge on the front of my truck fair warning to jaywalkers.",""
"161","2016-05-18T14:04:54+0000","Why does someone believe you when you say there are four billion stars, but check when you say the paint is wet?",""
"162","2015-11-22T05:50:53+0000","Men are like dogs. We're excited to see you, and we have no idea what you're mad about.",""
"163","2011-12-07T19:25:17+0000","Ironically ""Chumbawamba"" totally got knocked down and never got up again.",""
"164","2015-08-16T23:14:20+0000","I need professional help. A chef and a butler should do it.",""
"165","2010-05-21T10:11:29+0000","So, in America it's called 'Cotton Candy' and in Britain it's called 'Candy Floss'... guys, I think I've found the reason for the bad teeth.",""
"166","2012-03-17T09:59:06+0000","Hey Jack, Jumping over a candlestick isn't all that impressive. The cow jumped over the freaking moon.",""
"167","2014-02-14T06:59:11+0000","I felt kind of sad sitting in a restaurant alone eating lunch, then I saw a woman with 6 kids and I felt fucking awesome.",""
"168","2010-12-05T08:20:10+0000","Don't forget to wake up that guy from Green Day tomorrow.",""
"169","2014-08-13T08:05:16+0000","I wish real life had as many ejection seats as cartoons.",""
"170","2011-07-13T22:07:04+0000","Whoever said nothing was impossible has obviously never tried to staple water to a tree.",""
"171","2016-09-22T09:20:09+0000","I don't understand interventions. What's the point of being told I drink too much by a room full of the reasons I drink in the first place?",""
"172","2015-11-23T00:02:06+0000","The definition of ""lack of effort"" would be the guy who named the orange",""
"173","2014-04-09T09:38:35+0000","This is my 'serious' account. My Bank account is the 'joke' one.",""
"174","2015-11-21T21:53:04+0000","I just heard a woodpecker call me a 'paranoid old weirdo' in morse code.",""
"175","2015-01-27T12:29:17+0000","You do not need a parachute to skydive. You only need a parachute to skydive twice",""
"176","2014-12-24T23:45:42+0000","If my job was to browse the internet and play on my phone, I don't know what I'd do to slack off, but I'm sure I'd find something.",""
"177","2010-02-27T12:59:50+0000","I'm beginning to think they invented the wireless mouse just so there was one less thing to use to hang yourself with at work.",""
"178","2011-01-27T14:03:04+0000","After 20 years of marriage, my wife still makes me smile. At least for the pictures...",""
"179","2013-07-09T23:35:20+0000","Vegetarian is an old Native American word for bad hunter.",""
"180","2016-01-12T20:12:06+0000","Out of all the possible utensils that could have been invented to eat rice with, how did two sticks win?",""
"181","2011-09-11T02:08:12+0000","When my kid loses a tooth, I’m telling him the tooth fairy charges a $5 disposal fee.",""
"182","2014-09-21T03:23:21+0000","I just finish reading ""50 shades of gray"" by Sherwin Williams. I don't see what all the hype is about these paint brochures.",""
"183","2015-02-26T21:37:44+0000","""Half a Dozen"", because saying ""six"" was just too difficult.",""
"184","2011-09-02T11:01:22+0000","I'm developing a new show called Moron Jeopardy in which contestants have to answer questions in the form of Yahoo! Answers.",""
"185","2012-06-19T19:27:08+0000","What do you call a fat psychic? A four chin teller.",""
"186","2015-05-10T20:38:26+0000","Can I borrow a kiss? I promise I'll give it back.",""
"187","2012-08-22T19:05:14+0000","I’m not sure how many problems I have because math is one of them.",""
"188","2010-09-05T11:05:32+0000","Old people at weddings always poke me n say ""You're Next"". So I started doing the same to them at funerals....",""
"189","2010-01-02T16:38:55+0000","For Christmas I just want summer...",""
"190","2016-08-14T12:56:04+0000","I wouldn't say you're stupid. You are, but I wouldn't say it.",""
"191","2012-05-10T03:29:45+0000","I'm great in bed....i can sleep for days.",""
"192","2010-06-23T21:05:12+0000","When I die, I'd like someone to keep updating my Facebook for me just to freak people out. Things like, ""Hey, who knew they had a Chipotle up here?""",""
"193","2011-04-14T16:37:57+0000","You can see my left over Scrabble tiles IDGAF.",""
"194","2014-02-07T09:18:05+0000","My most frequent walk of shame is from one bathroom to the other with the plunger",""
"195","2011-06-06T10:22:29+0000","I can't understand why women are okay that JCPenney has an older women's clothing line named, ""Sag Harbor.""",""
"196","2012-01-09T22:18:41+0000","The Bachelor is the show that answers the question ""How much wine do you have to drink until the guy making out with twenty different women seems like he'd make a good husband?""",""
"197","2016-08-06T01:36:34+0000","I plan on teaching my kid about taxes at a very early age by eating 36% of his ice cream",""
"198","2012-10-03T21:38:34+0000","Love makes the world go round, but alcohol makes it go round twice as fast!",""
"199","2010-11-16T18:24:03+0000","When I die, I want to be cremated and put inside an Etch-a-Sketch.",""
"200","2013-01-03T04:15:48+0000","Gonorrhoea sounds like a medicine to treat Diarrhoea",""
"201","2010-08-08T04:15:11+0000","Laugh at your problems, everybody else does",""
"202","2013-09-23T06:36:47+0000","I made a huge TO DO list for this weekend. I just can't figure out who's going to do it.",""
"203","2012-11-26T20:47:20+0000","If you're walking on sunshine, please adjust your dosage accordingly",""
"204","2016-01-21T00:50:12+0000","It's not that I'm suicidal but jumping off a building onto a trampoline held by firemen sounds like so much fun.",""
"205","2010-07-02T03:14:18+0000","Whenever I have a panic attack I put a paper bag over my mouth & once I'm done drinking the alcohol inside I feel a lot better.",""
"206","2012-05-07T18:18:52+0000","Unless you fell on the treadmill, nobody wants to hear about your workout.",""
"207","2010-11-07T22:22:34+0000","I wasn't planning on giving Christmas gifts this year until I heard about those exploding Samsung G7 Note phones.",""
"208","2010-02-22T03:58:21+0000","My money keeps unfollowing me.",""
"209","2011-09-17T11:49:39+0000","I don't blame Congress. If I had $600 billion, I'd be irresponsible too.",""
"210","2012-07-06T12:21:46+0000","It takes police too long to respond to 911 calls. If I get robbed I'm ordering Chinese food and asking them to bring a gun.",""
"211","2011-12-02T11:02:46+0000","You don't know broke until you've rinsed off a paper plate.",""
"212","2013-05-11T02:14:49+0000","I’m still not convinced that Spotify wasn’t originally the working title of a tampon commercial.",""
"213","2012-07-12T13:00:50+0000","I tried making some rabbit stew one weekend, but the kids complained that there was a hare in it.",""
"214","2013-09-16T21:43:28+0000","My internet goes out more than I do.",""
"215","2014-10-14T01:35:25+0000","This Halloween, I think I'll just set out a bit empty bowl that says ""take one"". That way all the kids will think some jerk took it all.",""
"216","2014-07-22T06:56:24+0000","I don't like to make plans too far in advance because then the word ""premeditated"" gets thrown around in the courtroom.",""
"217","2010-10-27T17:37:11+0000","I’m an organ donor, but I’m pretty sure all they’re going to use is my liver for “after” photos.",""
"218","2016-06-27T22:18:23+0000","The first rule of Right Club is that your wife is the only member of Right Club.",""
"219","2013-02-16T01:05:02+0000","Relationships are like garage sales. From a distance they look interesting but up close it's just a bunch of crap you don't need.",""
"220","2010-04-21T01:20:12+0000","Pretty sure I look forward to my boss' vacation's more than he does.",""
"221","2015-09-21T19:49:39+0000","My New Year's resolution for 2014 is to do something about my procrastination.",""
"222","2013-06-22T17:22:49+0000","My version of flirting is looking at someone attractive multiple times while hoping they are more brave than I am.",""
"223","2012-02-19T18:30:26+0000","Remember when we were kids and we were in such a rush to grow up and become adults? Boy, was that stupid.",""
"224","2012-03-13T14:46:03+0000","Give me liberty, or give me death! Preferably liberty, though. Death sounds kinda scary.",""
"225","2010-02-26T14:50:12+0000","I'm more confused than a valet parking attendant at a Mary Kay convention.",""
"226","2015-08-06T13:49:51+0000","Sorry. I'm just now seeing your text from last night. Do you still need that EpiPen?",""
"227","2010-02-03T07:41:08+0000","Deadpool should merge with﻿ the Carnage symbiote. Then he'd be called, Carpool.",""
"228","2011-11-07T06:06:23+0000","Live today like it's your last! (but use a condom just in case it isn't)",""
"229","2014-01-16T17:15:37+0000","""It's cute, but it really doesn't go with my outfit"" - How I just got out of holding a baby",""
"230","2014-07-24T08:16:52+0000","You know what they say about big feet: clown.",""
"231","2014-04-07T00:34:43+0000","Dear random person I waved at that looks like someone I know, Just humor me, please. Sincerely, this is freaking embarrassing.",""
"232","2010-10-27T19:28:02+0000","If there's a bar where everybody knows your name, you're probably an alcoholic.",""
"233","2011-06-25T18:19:23+0000","Going to a funeral of a very dear old woman. She was known as a great lover of animals owning a variety of parrots, cats, dogs, pigs, cows and horses. She was even an expert on varies types of Arachnids. Sigh. If only she didn't swallow that fly.",""
"234","2015-09-01T16:31:26+0000","Yeah you nailed the audition but some other chick nailed the director so better luck next time.",""
"235","2012-11-14T10:08:04+0000","I wish Google Maps had an ""Avoid Ghetto"" routing option.",""
"236","2013-02-16T01:13:45+0000","If something were better than the leading brand, then it would be the leading brand.",""
"237","2010-06-22T00:10:21+0000","A penny saved is a Congressional spending oversight.",""
"238","2012-03-26T10:44:19+0000","My 2017 resolution is to stop thinking so much about the future.",""
"239","2015-12-20T14:15:32+0000","I can't get out of bed. These blanket have accepted me as one of their own and if I leave now I might lose their trust.",""
"240","2010-10-07T08:46:12+0000","The first messenger to say Don't kill the messenger definitely got killed in the face",""
"241","2012-05-06T02:20:26+0000","You know you are getting old when the candles on your birthday cake start to cost more than the cake.",""
"242","2015-01-24T14:50:50+0000","It's taken me awhile, but I think I'm finally ready to accept that it's not butter.",""
"243","2011-04-24T02:38:32+0000","Why don't you slip into something a little more comfortable? ...like a coma.",""
"244","2010-07-10T01:12:50+0000","The fact that Burger King can sell you 10 chicken nuggets for $1.49 should concern you more than it should entice you.",""
"245","2010-08-03T21:51:15+0000","To make it stand, you wet it. To make it wet, you suck it. To make it stiff, you lick it. To get it in, you push it. Threading a needle isn't easy.",""
"246","2016-05-21T14:12:15+0000","Of all the lies I've told in my life, ""Just kidding"" is my favorite.",""
"247","2012-07-03T16:13:09+0000","I have a pretty big ass, so when I half ass something you're still getting something impressive.",""
"248","2016-12-12T11:35:05+0000","After announcing our weight at birth, parents shouldn’t stop. If they announced it at every birthday, we’d all be a lot skinnier.",""
"249","2011-09-14T17:27:22+0000","The adult version of Operation is trying not to break a tortilla chip while dipping it into a jar of salsa",""
"250","2011-07-21T16:46:24+0000","Whenever I fill out an application, in the part that says ""If an emergency, notify:"" I put ""DOCTOR"". What's my mother going to do?",""
"251","2013-07-08T07:40:58+0000","Snooki just wrote another book, which is an amazing accomplishment considering she's still trying to learn how to read her first one.",""
"252","2011-11-18T23:41:01+0000","DiGiorno should start delivering, just to screw with people.",""
"253","2012-02-27T12:27:09+0000","Camping is fun if you're into pretending that you're homeless.",""
"254","2012-02-02T21:57:07+0000","Need to kill a few hours? Give someone with OCD a bowl of Alphabet Soup.",""
"255","2015-12-05T01:48:21+0000","I'm getting a mistletoe tramp stamp so everyone knows they can kiss my ass.",""
"256","2014-08-21T19:54:05+0000","One time at a rock concert I actually rocked out with my cock out. Turns out music clubs frown on Roosters in attendance.",""
"257","2014-04-06T23:12:48+0000","I just turned my keyboard upside down and shook it over my desk and now I don't have to go grocery shopping for at least two weeks.",""
"258","2012-10-13T08:18:06+0000","It's so damn hot outside, I almost called my ex so I could be around something shady.",""
"259","2012-09-09T11:54:29+0000","I'm going to propose with a mood ring so I can easily see a measurement of how excited she really is.",""
"260","2013-10-19T12:08:15+0000","In Capitalism, Man exploits Man. In Communism, it's the other way around.",""
"261","2011-08-11T11:23:29+0000","I have to be careful with my kids when I talk about the death of their father. It's a sensitive subject and I don't want them warning him.",""
"262","2010-03-02T17:22:55+0000","Apparently, Twilight is “so popular” because teenagers can relate to it. “Oh yeah, I remember that time when I was a Vampire.""",""
